,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
245,no_checking_account,24,existing_credits_paid_back_till_now,business,1258,less_than_100_dm,4_7_years,4,male_single,none,1,real_estate,25,none,own,1,skilled_employee,1,yes,yes,0,1
246,no_checking_account,12,critical_account,radio_television,717,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,52,none,own,3,skilled_employee,1,none,yes,0,1
247,no_checking_account,6,no_credits_taken,car_new,1204,100_to_500_dm,1_4_years,4,male_single,none,1,unknown_or_no_property,35,bank,rent,1,skilled_employee,1,none,no,0,1
248,greater_than_200_dm,24,existing_credits_paid_back_till_now,furniture_equipment,1925,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,26,none,own,1,skilled_employee,1,none,yes,0,1
249,no_checking_account,18,existing_credits_paid_back_till_now,radio_television,433,less_than_100_dm,unemployed,3,female_divorced_separated_married,co_applicant,4,real_estate,22,none,rent,1,skilled_employee,1,none,yes,1,2
250,less_than_0_dm,6,critical_account,car_new,666,greater_than_1000_dm,4_7_years,3,female_divorced_separated_married,none,4,real_estate,39,none,own,2,unskilled_resident,1,yes,yes,0,1
251,greater_than_200_dm,12,existing_credits_paid_back_till_now,furniture_equipment,2251,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,2,car_or_other,46,none,own,1,unskilled_resident,1,none,yes,0,1
252,0_to_200_dm,30,existing_credits_paid_back_till_now,car_new,2150,less_than_100_dm,1_4_years,4,female_divorced_separated_married,guarantor,2,unknown_or_no_property,24,bank,own,1,skilled_employee,1,none,yes,1,2
253,no_checking_account,24,delay_in_past,furniture_equipment,4151,100_to_500_dm,1_4_years,2,male_single,none,3,savings_agreement_life_insurance,35,none,own,2,skilled_employee,1,none,yes,0,1
254,0_to_200_dm,9,existing_credits_paid_back_till_now,furniture_equipment,2030,unknown_or_no_savings_account,4_7_years,2,male_single,none,1,car_or_other,24,none,own,1,skilled_employee,1,yes,yes,0,1
255,0_to_200_dm,60,delay_in_past,radio_television,7418,unknown_or_no_savings_account,1_4_years,1,male_single,none,1,real_estate,27,none,own,1,unskilled_resident,1,none,yes,0,1
256,no_checking_account,24,critical_account,radio_television,2684,less_than_100_dm,1_4_years,4,male_single,none,2,real_estate,35,none,own,2,unskilled_resident,1,none,yes,0,1
257,less_than_0_dm,12,all_credits_paid_back,radio_television,2149,less_than_100_dm,1_4_years,4,male_divorced_separated,none,1,unknown_or_no_property,29,none,for_free,1,skilled_employee,1,none,yes,1,2
258,no_checking_account,15,existing_credits_paid_back_till_now,car_used,3812,100_to_500_dm,0_1_year,1,female_divorced_separated_married,none,4,car_or_other,23,none,own,1,skilled_employee,1,yes,yes,0,1
259,no_checking_account,11,critical_account,radio_television,1154,100_to_500_dm,unemployed,4,female_divorced_separated_married,none,4,real_estate,57,none,own,3,unskilled_resident,1,none,yes,0,1
260,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1657,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,27,none,own,1,skilled_employee,1,none,yes,0,1
261,less_than_0_dm,24,existing_credits_paid_back_till_now,radio_television,1603,less_than_100_dm,7_more_years,4,female_divorced_separated_married,none,4,car_or_other,55,none,own,1,skilled_employee,1,none,yes,0,1
262,less_than_0_dm,18,critical_account,car_new,5302,less_than_100_dm,7_more_years,2,male_single,none,4,unknown_or_no_property,36,none,for_free,3,management_self_employed_highly_qualified,1,yes,yes,0,1
263,no_checking_account,12,critical_account,education,2748,less_than_100_dm,7_more_years,2,female_divorced_separated_married,none,4,unknown_or_no_property,57,bank,for_free,3,unskilled_resident,1,none,yes,0,1
264,no_checking_account,10,critical_account,car_new,1231,less_than_100_dm,7_more_years,3,male_single,none,4,real_estate,32,none,own,2,unskilled_resident,2,none,no,0,1
265,0_to_200_dm,15,existing_credits_paid_back_till_now,radio_television,802,less_than_100_dm,7_more_years,4,male_single,none,3,car_or_other,37,none,own,1,skilled_employee,2,none,yes,1,2
266,no_checking_account,36,critical_account,business,6304,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,real_estate,36,none,own,2,skilled_employee,1,none,yes,0,1
267,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1533,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,3,car_or_other,38,stores,own,1,skilled_employee,1,yes,yes,0,1
268,less_than_0_dm,14,existing_credits_paid_back_till_now,car_new,8978,less_than_100_dm,7_more_years,1,male_divorced_separated,none,4,savings_agreement_life_insurance,45,none,own,1,management_self_employed_highly_qualified,1,yes,no,1,2
269,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,999,unknown_or_no_savings_account,7_more_years,4,male_single,none,2,car_or_other,25,none,own,2,skilled_employee,1,none,yes,0,1
270,no_checking_account,18,existing_credits_paid_back_till_now,car_new,2662,unknown_or_no_savings_account,4_7_years,4,male_single,none,3,savings_agreement_life_insurance,32,none,own,1,skilled_employee,1,none,no,0,1
271,no_checking_account,12,critical_account,furniture_equipment,1402,500_to_1000_dm,4_7_years,3,female_divorced_separated_married,none,4,car_or_other,37,none,rent,1,skilled_employee,1,yes,yes,0,1
272,0_to_200_dm,48,all_credits_paid_back,car_new,12169,unknown_or_no_savings_account,unemployed,4,male_single,co_applicant,4,unknown_or_no_property,36,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
273,0_to_200_dm,48,existing_credits_paid_back_till_now,radio_television,3060,less_than_100_dm,4_7_years,4,male_single,none,4,real_estate,28,none,own,2,skilled_employee,1,none,yes,1,2
274,less_than_0_dm,30,existing_credits_paid_back_till_now,repairs,11998,less_than_100_dm,0_1_year,1,male_divorced_separated,none,1,unknown_or_no_property,34,none,own,1,unskilled_resident,1,yes,yes,1,2
275,no_checking_account,9,existing_credits_paid_back_till_now,radio_television,2697,less_than_100_dm,1_4_years,1,male_single,none,2,real_estate,32,none,own,1,skilled_employee,2,none,yes,0,1
276,no_checking_account,18,critical_account,radio_television,2404,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,car_or_other,26,none,own,2,skilled_employee,1,none,yes,0,1
277,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1262,unknown_or_no_savings_account,7_more_years,2,male_divorced_separated,none,4,savings_agreement_life_insurance,49,none,own,1,unskilled_resident,1,yes,yes,0,1
278,no_checking_account,6,existing_credits_paid_back_till_now,furniture_equipment,4611,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,4,savings_agreement_life_insurance,32,none,own,1,skilled_employee,1,none,yes,1,2
279,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1901,100_to_500_dm,1_4_years,4,male_single,none,4,car_or_other,29,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,0,1
280,no_checking_account,15,critical_account,car_used,3368,greater_than_1000_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,23,none,rent,2,skilled_employee,1,yes,yes,0,1
281,no_checking_account,12,existing_credits_paid_back_till_now,furniture_equipment,1574,less_than_100_dm,1_4_years,4,male_single,none,2,real_estate,50,none,own,1,skilled_employee,1,none,yes,0,1
282,greater_than_200_dm,18,all_credits_paid_back,radio_television,1445,unknown_or_no_savings_account,4_7_years,4,male_single,none,4,car_or_other,49,bank,own,1,unskilled_resident,1,none,yes,0,1
283,no_checking_account,15,critical_account,furniture_equipment,1520,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,63,none,own,1,skilled_employee,1,none,yes,0,1
284,0_to_200_dm,24,critical_account,car_new,3878,100_to_500_dm,0_1_year,4,male_divorced_separated,none,2,car_or_other,37,none,own,1,skilled_employee,1,yes,yes,0,1
285,less_than_0_dm,47,existing_credits_paid_back_till_now,car_new,10722,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,1,real_estate,35,none,own,1,unskilled_resident,1,yes,yes,0,1
286,less_than_0_dm,48,existing_credits_paid_back_till_now,car_used,4788,less_than_100_dm,4_7_years,4,male_single,none,3,savings_agreement_life_insurance,26,none,own,1,skilled_employee,2,none,yes,0,1
287,0_to_200_dm,48,delay_in_past,others,7582,100_to_500_dm,unemployed,2,male_single,none,4,unknown_or_no_property,31,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
288,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1092,less_than_100_dm,1_4_years,4,female_divorced_separated_married,guarantor,4,real_estate,49,none,own,2,skilled_employee,1,yes,yes,0,1
289,less_than_0_dm,24,delay_in_past,radio_television,1024,less_than_100_dm,0_1_year,4,male_married_widowed,none,4,real_estate,48,stores,own,1,skilled_employee,1,none,yes,1,2
290,no_checking_account,12,existing_credits_paid_back_till_now,business,1076,less_than_100_dm,1_4_years,2,male_married_widowed,none,2,real_estate,26,none,own,1,skilled_employee,1,yes,no,0,1
291,0_to_200_dm,36,existing_credits_paid_back_till_now,car_used,9398,less_than_100_dm,0_1_year,1,male_married_widowed,none,4,car_or_other,28,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,1,2
292,less_than_0_dm,24,critical_account,car_used,6419,less_than_100_dm,7_more_years,2,female_divorced_separated_married,none,4,unknown_or_no_property,44,none,for_free,2,management_self_employed_highly_qualified,2,yes,yes,0,1
293,greater_than_200_dm,42,critical_account,car_used,4796,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,56,none,for_free,1,skilled_employee,1,none,yes,0,1
294,no_checking_account,48,critical_account,business,7629,unknown_or_no_savings_account,7_more_years,4,male_divorced_separated,none,2,car_or_other,46,bank,own,2,management_self_employed_highly_qualified,2,none,yes,0,1
295,0_to_200_dm,48,existing_credits_paid_back_till_now,furniture_equipment,9960,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,2,car_or_other,26,none,own,1,skilled_employee,1,yes,yes,1,2
296,no_checking_account,12,existing_credits_paid_back_till_now,car_used,4675,unknown_or_no_savings_account,0_1_year,1,female_divorced_separated_married,none,4,car_or_other,20,none,rent,1,skilled_employee,1,none,yes,0,1
297,no_checking_account,10,existing_credits_paid_back_till_now,car_new,1287,unknown_or_no_savings_account,7_more_years,4,male_single,co_applicant,2,savings_agreement_life_insurance,45,none,own,1,unskilled_resident,1,none,no,0,1
298,no_checking_account,18,existing_credits_paid_back_till_now,furniture_equipment,2515,less_than_100_dm,1_4_years,3,male_single,none,4,real_estate,43,none,own,1,skilled_employee,1,yes,yes,0,1
299,0_to_200_dm,21,critical_account,furniture_equipment,2745,greater_than_1000_dm,4_7_years,3,male_single,none,2,car_or_other,32,none,own,2,skilled_employee,1,yes,yes,0,1
300,no_checking_account,6,existing_credits_paid_back_till_now,car_new,672,less_than_100_dm,unemployed,1,female_divorced_separated_married,none,4,real_estate,54,none,own,1,unemployed_unskilled_non_resident,1,yes,yes,0,1
301,0_to_200_dm,36,no_credits_taken,radio_television,3804,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,1,car_or_other,42,none,own,1,skilled_employee,1,yes,yes,1,2
302,greater_than_200_dm,24,critical_account,car_new,1344,unknown_or_no_savings_account,4_7_years,4,male_single,none,2,real_estate,37,bank,own,2,unskilled_resident,2,none,yes,1,2
303,less_than_0_dm,10,critical_account,car_new,1038,less_than_100_dm,4_7_years,4,male_single,co_applicant,3,savings_agreement_life_insurance,49,none,own,2,skilled_employee,1,yes,yes,0,1
304,no_checking_account,48,critical_account,car_new,10127,500_to_1000_dm,1_4_years,2,male_single,none,2,unknown_or_no_property,44,bank,for_free,1,skilled_employee,1,none,yes,1,2
305,no_checking_account,6,existing_credits_paid_back_till_now,furniture_equipment,1543,greater_than_1000_dm,1_4_years,4,male_divorced_separated,none,2,real_estate,33,none,own,1,skilled_employee,1,none,yes,0,1
306,no_checking_account,30,existing_credits_paid_back_till_now,car_used,4811,unknown_or_no_savings_account,4_7_years,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,24,stores,rent,1,unskilled_resident,1,none,yes,0,1
307,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,727,100_to_500_dm,0_1_year,4,male_married_widowed,none,3,unknown_or_no_property,33,none,own,1,unskilled_resident,1,yes,yes,1,2
308,0_to_200_dm,8,existing_credits_paid_back_till_now,furniture_equipment,1237,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,4,real_estate,24,none,own,1,skilled_employee,1,none,yes,1,2
309,0_to_200_dm,9,existing_credits_paid_back_till_now,car_new,276,less_than_100_dm,1_4_years,4,male_married_widowed,none,4,real_estate,22,none,rent,1,unskilled_resident,1,none,yes,0,1
310,0_to_200_dm,48,existing_credits_paid_back_till_now,others,5381,unknown_or_no_savings_account,unemployed,3,male_single,none,4,unknown_or_no_property,40,bank,for_free,1,unemployed_unskilled_non_resident,1,yes,yes,0,1
311,no_checking_account,24,existing_credits_paid_back_till_now,furniture_equipment,5511,100_to_500_dm,1_4_years,4,male_single,none,1,car_or_other,25,stores,own,1,skilled_employee,1,none,yes,0,1
312,greater_than_200_dm,24,existing_credits_paid_back_till_now,furniture_equipment,3749,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,4,car_or_other,26,none,own,1,skilled_employee,1,none,yes,0,1
313,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,685,less_than_100_dm,4_7_years,2,male_married_widowed,none,3,car_or_other,25,bank,own,1,unskilled_resident,1,none,yes,1,2
314,greater_than_200_dm,4,existing_credits_paid_back_till_now,car_new,1494,unknown_or_no_savings_account,0_1_year,1,male_single,none,2,real_estate,29,none,own,1,unskilled_resident,2,none,no,0,1
315,less_than_0_dm,36,all_credits_paid_back,furniture_equipment,2746,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,31,bank,own,1,skilled_employee,1,none,yes,1,2
316,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,708,less_than_100_dm,1_4_years,2,male_single,guarantor,3,savings_agreement_life_insurance,38,none,own,1,unskilled_resident,2,none,yes,0,1
317,0_to_200_dm,24,existing_credits_paid_back_till_now,furniture_equipment,4351,unknown_or_no_savings_account,1_4_years,1,female_divorced_separated_married,none,4,savings_agreement_life_insurance,48,none,own,1,unskilled_resident,1,yes,yes,0,1
318,no_checking_account,12,critical_account,education,701,less_than_100_dm,1_4_years,4,male_single,none,2,car_or_other,32,none,own,2,skilled_employee,1,none,yes,0,1
319,less_than_0_dm,15,delay_in_past,furniture_equipment,3643,less_than_100_dm,7_more_years,1,female_divorced_separated_married,none,4,savings_agreement_life_insurance,27,none,own,2,unskilled_resident,1,none,yes,0,1
320,0_to_200_dm,30,critical_account,car_new,4249,less_than_100_dm,unemployed,4,male_married_widowed,none,2,car_or_other,28,none,own,2,management_self_employed_highly_qualified,1,none,yes,1,2
321,less_than_0_dm,24,existing_credits_paid_back_till_now,radio_television,1938,less_than_100_dm,0_1_year,4,male_divorced_separated,none,3,savings_agreement_life_insurance,32,none,own,1,skilled_employee,1,none,yes,1,2
322,less_than_0_dm,24,existing_credits_paid_back_till_now,car_used,2910,less_than_100_dm,4_7_years,2,male_single,none,1,unknown_or_no_property,34,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
323,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,2659,greater_than_1000_dm,1_4_years,4,male_single,none,2,car_or_other,28,none,own,1,skilled_employee,1,none,yes,0,1
324,no_checking_account,18,critical_account,car_new,1028,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,3,real_estate,36,none,own,2,skilled_employee,1,none,yes,0,1
325,less_than_0_dm,8,critical_account,car_new,3398,less_than_100_dm,4_7_years,1,male_single,none,4,real_estate,39,none,own,2,unskilled_resident,1,none,no,0,1
326,no_checking_account,12,critical_account,furniture_equipment,5801,unknown_or_no_savings_account,7_more_years,2,male_single,none,4,savings_agreement_life_insurance,49,none,rent,1,skilled_employee,1,yes,yes,0,1
327,no_checking_account,24,existing_credits_paid_back_till_now,car_new,1525,greater_than_1000_dm,4_7_years,4,female_divorced_separated_married,none,3,car_or_other,34,none,own,1,skilled_employee,2,yes,yes,0,1
328,greater_than_200_dm,36,existing_credits_paid_back_till_now,radio_television,4473,less_than_100_dm,7_more_years,4,male_single,none,2,car_or_other,31,none,own,1,skilled_employee,1,none,yes,0,1
329,0_to_200_dm,6,existing_credits_paid_back_till_now,radio_television,1068,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,28,none,own,1,skilled_employee,2,none,yes,0,1
330,less_than_0_dm,24,critical_account,car_used,6615,less_than_100_dm,unemployed,2,male_single,none,4,unknown_or_no_property,75,none,for_free,2,management_self_employed_highly_qualified,1,yes,yes,0,1
331,no_checking_account,18,critical_account,education,1864,100_to_500_dm,1_4_years,4,female_divorced_separated_married,none,2,real_estate,30,none,own,2,skilled_employee,1,none,yes,1,2
332,0_to_200_dm,60,existing_credits_paid_back_till_now,car_new,7408,100_to_500_dm,0_1_year,4,female_divorced_separated_married,none,2,savings_agreement_life_insurance,24,none,own,1,management_self_employed_highly_qualified,1,none,yes,1,2
333,no_checking_account,48,critical_account,car_used,11590,100_to_500_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,24,bank,rent,2,unskilled_resident,1,none,yes,1,2
334,less_than_0_dm,24,no_credits_taken,furniture_equipment,4110,less_than_100_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,23,bank,rent,2,skilled_employee,2,none,yes,1,2
335,less_than_0_dm,6,critical_account,furniture_equipment,3384,less_than_100_dm,1_4_years,1,male_divorced_separated,none,4,real_estate,44,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,1,2
336,0_to_200_dm,13,existing_credits_paid_back_till_now,radio_television,2101,less_than_100_dm,0_1_year,2,female_divorced_separated_married,guarantor,4,savings_agreement_life_insurance,23,none,own,1,unskilled_resident,1,none,yes,0,1
337,less_than_0_dm,15,existing_credits_paid_back_till_now,domestic_appliances,1275,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,2,car_or_other,24,none,rent,1,skilled_employee,1,none,yes,1,2
338,less_than_0_dm,24,existing_credits_paid_back_till_now,furniture_equipment,4169,less_than_100_dm,1_4_years,4,male_single,none,4,savings_agreement_life_insurance,28,none,own,1,skilled_employee,1,none,yes,0,1
339,0_to_200_dm,10,existing_credits_paid_back_till_now,furniture_equipment,1521,less_than_100_dm,1_4_years,4,male_divorced_separated,none,2,car_or_other,31,none,own,1,unskilled_resident,1,none,yes,0,1
340,0_to_200_dm,24,critical_account,education,5743,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,4,unknown_or_no_property,24,none,for_free,2,skilled_employee,1,yes,yes,0,1
341,less_than_0_dm,21,existing_credits_paid_back_till_now,furniture_equipment,3599,less_than_100_dm,4_7_years,1,female_divorced_separated_married,none,4,car_or_other,26,none,rent,1,unskilled_resident,1,none,yes,0,1
342,0_to_200_dm,18,existing_credits_paid_back_till_now,radio_television,3213,500_to_1000_dm,0_1_year,1,male_married_widowed,none,3,real_estate,25,none,rent,1,skilled_employee,1,none,yes,0,1
343,0_to_200_dm,18,existing_credits_paid_back_till_now,business,4439,less_than_100_dm,7_more_years,1,male_single,co_applicant,1,real_estate,33,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
344,greater_than_200_dm,10,existing_credits_paid_back_till_now,car_new,3949,less_than_100_dm,0_1_year,1,male_single,guarantor,1,savings_agreement_life_insurance,37,none,own,1,unskilled_resident,2,none,yes,0,1
345,no_checking_account,15,critical_account,radio_television,1459,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,2,car_or_other,43,none,own,1,unskilled_resident,1,none,yes,0,1
346,0_to_200_dm,13,critical_account,radio_television,882,less_than_100_dm,0_1_year,4,male_single,guarantor,4,real_estate,23,none,own,2,skilled_employee,1,none,yes,0,1
347,0_to_200_dm,24,existing_credits_paid_back_till_now,radio_television,3758,500_to_1000_dm,unemployed,1,female_divorced_separated_married,none,4,unknown_or_no_property,23,none,rent,1,unemployed_unskilled_non_resident,1,none,yes,0,1
348,no_checking_account,6,delay_in_past,business,1743,100_to_500_dm,1_4_years,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,1,none,yes,0,1
349,0_to_200_dm,9,critical_account,education,1136,greater_than_1000_dm,7_more_years,4,male_single,none,3,unknown_or_no_property,32,none,for_free,2,skilled_employee,2,none,yes,1,2
350,no_checking_account,9,existing_credits_paid_back_till_now,domestic_appliances,1236,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,skilled_employee,1,yes,yes,0,1
351,0_to_200_dm,9,existing_credits_paid_back_till_now,furniture_equipment,959,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,2,car_or_other,29,none,own,1,skilled_employee,1,none,no,1,2
352,no_checking_account,18,critical_account,car_used,3229,unknown_or_no_savings_account,unemployed,2,male_single,none,4,unknown_or_no_property,38,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
353,less_than_0_dm,12,no_credits_taken,radio_television,6199,less_than_100_dm,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,28,none,rent,2,skilled_employee,1,yes,yes,1,2
354,no_checking_account,10,existing_credits_paid_back_till_now,education,727,500_to_1000_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,46,none,for_free,1,skilled_employee,1,yes,yes,0,1
355,0_to_200_dm,24,existing_credits_paid_back_till_now,car_new,1246,less_than_100_dm,0_1_year,4,male_single,none,2,real_estate,23,stores,own,1,unskilled_resident,1,none,yes,1,2
356,no_checking_account,12,critical_account,radio_television,2331,unknown_or_no_savings_account,7_more_years,1,male_single,co_applicant,4,real_estate,49,none,own,1,skilled_employee,1,yes,yes,0,1
357,no_checking_account,36,delay_in_past,radio_television,4463,less_than_100_dm,1_4_years,4,male_single,none,2,car_or_other,26,none,own,2,management_self_employed_highly_qualified,1,yes,yes,1,2
358,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,776,less_than_100_dm,1_4_years,4,male_married_widowed,none,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0,1
359,less_than_0_dm,30,existing_credits_paid_back_till_now,furniture_equipment,2406,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,skilled_employee,1,none,yes,1,2
360,0_to_200_dm,18,existing_credits_paid_back_till_now,education,1239,unknown_or_no_savings_account,1_4_years,4,male_single,none,4,unknown_or_no_property,61,none,for_free,1,skilled_employee,1,none,yes,0,1
361,greater_than_200_dm,12,existing_credits_paid_back_till_now,radio_television,3399,unknown_or_no_savings_account,7_more_years,2,male_single,none,3,car_or_other,37,none,own,1,management_self_employed_highly_qualified,1,none,yes,0,1
362,greater_than_200_dm,12,delay_in_past,car_new,2247,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,car_or_other,36,stores,own,2,skilled_employee,1,yes,yes,0,1
363,no_checking_account,6,existing_credits_paid_back_till_now,furniture_equipment,1766,less_than_100_dm,1_4_years,1,male_married_widowed,none,2,savings_agreement_life_insurance,21,none,rent,1,skilled_employee,1,none,yes,0,1
364,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,2473,less_than_100_dm,unemployed,4,male_single,none,1,car_or_other,25,none,own,1,unemployed_unskilled_non_resident,1,none,yes,1,2
365,no_checking_account,12,existing_credits_paid_back_till_now,business,1542,less_than_100_dm,4_7_years,2,male_single,none,4,car_or_other,36,none,own,1,skilled_employee,1,yes,yes,0,1
366,no_checking_account,18,critical_account,car_used,3850,less_than_100_dm,4_7_years,3,male_single,none,1,car_or_other,27,none,own,2,skilled_employee,1,none,yes,0,1
367,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,3650,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,4,car_or_other,22,none,rent,1,skilled_employee,1,none,yes,0,1
368,less_than_0_dm,36,existing_credits_paid_back_till_now,furniture_equipment,3446,less_than_100_dm,7_more_years,4,male_single,none,2,car_or_other,42,none,own,1,skilled_employee,2,none,yes,1,2
369,0_to_200_dm,18,existing_credits_paid_back_till_now,furniture_equipment,3001,less_than_100_dm,4_7_years,2,female_divorced_separated_married,none,4,real_estate,40,none,rent,1,skilled_employee,1,none,yes,0,1
370,no_checking_account,36,existing_credits_paid_back_till_now,car_new,3079,unknown_or_no_savings_account,1_4_years,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0,1
371,no_checking_account,18,critical_account,radio_television,6070,less_than_100_dm,7_more_years,3,male_single,none,4,car_or_other,33,none,own,2,skilled_employee,1,yes,yes,0,1
372,no_checking_account,10,critical_account,furniture_equipment,2146,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,3,real_estate,23,none,rent,2,skilled_employee,1,none,yes,0,1
373,no_checking_account,60,critical_account,car_new,13756,unknown_or_no_savings_account,7_more_years,2,male_single,none,4,unknown_or_no_property,63,bank,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
374,0_to_200_dm,60,all_credits_paid_back,others,14782,100_to_500_dm,7_more_years,3,female_divorced_separated_married,none,4,unknown_or_no_property,60,bank,for_free,2,management_self_employed_highly_qualified,1,yes,yes,1,2
375,less_than_0_dm,48,all_credits_paid_back,business,7685,less_than_100_dm,4_7_years,2,female_divorced_separated_married,guarantor,4,car_or_other,37,none,rent,1,skilled_employee,1,none,yes,1,2
376,no_checking_account,18,delay_in_past,radio_television,2320,less_than_100_dm,unemployed,2,male_married_widowed,none,3,real_estate,34,none,own,2,skilled_employee,1,none,yes,0,1
377,no_checking_account,7,delay_in_past,radio_television,846,unknown_or_no_savings_account,7_more_years,3,male_single,none,4,unknown_or_no_property,36,none,for_free,1,skilled_employee,1,none,yes,0,1
378,0_to_200_dm,36,existing_credits_paid_back_till_now,car_new,14318,less_than_100_dm,7_more_years,4,male_single,none,2,unknown_or_no_property,57,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
379,no_checking_account,6,critical_account,car_new,362,100_to_500_dm,1_4_years,4,female_divorced_separated_married,none,4,car_or_other,52,none,own,2,unskilled_resident,1,none,yes,0,1
380,less_than_0_dm,20,existing_credits_paid_back_till_now,furniture_equipment,2212,unknown_or_no_savings_account,4_7_years,4,male_single,none,4,car_or_other,39,none,own,1,skilled_employee,1,yes,yes,0,1
381,0_to_200_dm,18,existing_credits_paid_back_till_now,car_used,12976,less_than_100_dm,unemployed,3,female_divorced_separated_married,none,4,unknown_or_no_property,38,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
382,no_checking_account,22,existing_credits_paid_back_till_now,car_new,1283,unknown_or_no_savings_account,4_7_years,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,25,none,rent,1,skilled_employee,1,none,yes,0,1
383,greater_than_200_dm,12,existing_credits_paid_back_till_now,car_new,1330,less_than_100_dm,0_1_year,4,male_single,none,1,real_estate,26,none,own,1,skilled_employee,1,none,yes,0,1
384,no_checking_account,30,delay_in_past,business,4272,100_to_500_dm,1_4_years,2,male_single,none,2,savings_agreement_life_insurance,26,none,own,2,unskilled_resident,1,none,yes,0,1
385,no_checking_account,18,critical_account,radio_television,2238,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,1,car_or_other,25,none,own,2,skilled_employee,1,none,yes,0,1
386,no_checking_account,18,existing_credits_paid_back_till_now,radio_television,1126,unknown_or_no_savings_account,0_1_year,4,female_divorced_separated_married,none,2,real_estate,21,none,rent,1,skilled_employee,1,yes,yes,0,1
387,0_to_200_dm,18,critical_account,furniture_equipment,7374,less_than_100_dm,unemployed,4,male_single,none,4,savings_agreement_life_insurance,40,stores,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
